DRUGS/ALCOHOL VIOLATIONS,5/19/2013 01:30 AM,36.155219,-86.780743,300_BLOCK_9TH_AVE_S_Nashville_TN_USA
ASSAULT,5/19/2013 02:00 AM,36.151013,-86.7968099,1900_BLOCK_BROADWAY_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/19/2013 02:00 AM,36.155219,-86.780743,300_BLOCK_9TH_AVE_S_Nashville_TN_USA
ASSAULT,5/19/2013 02:30 AM,36.176869,-86.7586,100_BLOCK_NEILL_AVE_Nashville_TN_USA
ASSAULT,5/19/2013 03:10 AM,36.155974,-86.796338,1700_BLOCK_CHURCH_ST_Nashville_TN_USA
VANDALISM,5/19/2013 03:10 AM,36.155974,-86.796338,1700_BLOCK_CHURCH_ST_Nashville_TN_USA
ASSAULT,5/19/2013 03:10 AM,36.155974,-86.796338,1700_BLOCK_CHURCH_ST_Nashville_TN_USA
ASSAULT,5/19/2013 03:45 AM,36.174855,-86.796967,1400_BLOCK_ARTHUR_AVE_Nashville_TN_USA
VANDALISM,5/19/2013 05:45 AM,36.153859,-86.788762,1500_BLOCK_DEMONBREUN_ST_Nashville_TN_USA
VANDALISM,5/19/2013 07:00 AM,36.153773,-86.833252,3900_BLOCK_ALABAMA_AVE_Nashville_TN_USA
ASSAULT,5/19/2013 08:00 AM,36.1762971,-86.8015412,1600_BLOCK_11TH_AVE_N_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/19/2013 09:45 AM,36.1523115,-86.8383394,43RD_AVE_N_AND_CHARLOTTE_AVE_Nashville_TN_USA
ASSAULT,5/19/2013 10:00 AM,36.1521625,-86.7564974,00_BLOCK_GREEN_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/19/2013 10:00 AM,36.1674376,-86.7875737,600_BLOCK_ROSA_L_PARKS_BLVD_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/19/2013 10:45 AM,36.162692,-86.781812,600_BLOCK_CHURCH_ST_Nashville_TN_USA
VANDALISM,5/19/2013 11:50 AM,36.1648105,-86.7582635,800_BLOCK_S_6TH_ST_Nashville_TN_USA
